NAIP Main Region,NAIP Sub-province,Locality 1,Locality 2,Latitude,Longitude,LatLong_accuracy,Formation_Unit,Lithology,Type,Original Reported Sample Number,Geochronological Method,Mineral/Phase,Authors,Chemical Geology,241,264-281,Age_included_selected dataset_second level,Preferred age calculation method,Re-calibrated Age_NAGTEC,Re-calibrated Error (± 1σ)_NAGTEC,Change_age_after_recalibration,Reported Age_Original Reference,Reported Error_Original Reference,Comment,Comment 2,40K/K_ratio (atom per cent),K2O(%),K2O(± 1σ%),Radiogenic_Ar(%),Plateau MSWD,40Ar/39Ar_Alternative_Age_Calculation_Method,40Ar/39Ar_Alternative_Age,40Ar/39Ar_Alternative_Age (± 1σ),%39Ar_Step heating_spectrum,40Ar/36Ar_Inverse_Isochron_Intercept,40Ar/36Ar_Inverse_Isochron_Intercept (± 1σ),MSWD_Isochron,40Ar/39Ar_Monitor_Mineral,40Ar/39Ar_Monitor_Age,40Ar/39Ar_Monitor (± 1σ),Literature_Reference_Monitor,"Proper_Plateau(39Ar50%,overlap2σ,3steps_minimum)"
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,Sample89068,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,57.49,0.3,0.69,56.8,0.3,Lower Series - close to top of Lower Series,,,,,,,Ar/Ar Isochron age,56.7,0.4,82,303,21,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,SampleL1-0337.5,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,60.63,0.35,0.73,59.9,0.35,"Lower Series, Lopra drill hole - over half way of drill hole",,,,,,,Ar/Ar Isochron age,59.1,1.15,88,335,61.5,2.3,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,SampleL1-1923.1,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,60.83,0.3,0.73,60.1,0.3,"Lower Series, Lopra drill hole - bottom of drill hole",,,,,,,Ar/Ar Isochron age,60.8,0.6,56,277,14,1.2,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,62,-6.75,Approximate,Upper Series,Basalt,Extrusive,Sample32/2,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,55.87,0.35,0.67,55.2,0.35,Upper Series,,,,,,,Ar/Ar Isochron age,55.3,0.4,100,292,3.5,1,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,62,-6.75,Approximate,Middle Series,Basalt,Extrusive,SampleX/2,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Earth and Planetary Science Letters,156,75-88,Y,Ar/Ar Plateau age,55.57,0.35,0.67,54.9,0.35,Middle Series,,,,,,,Ar/Ar Isochron age,55,0.5,100,291,8,1.3,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Igtutarajik         ,67.35,-32.5,Approximate,Layered Gabbro Complexes,Pegmatite (Gabbro),Intrusive,Sample I-7,Ar/Ar,Biotite             ,"Tegner, C., Duncan, R.A., Bernstein, S., Brooks, C.K., Bird, D.K. and Storey, M.",Earth and Planetary Science Letters,156,75-88,Y,Ar/Ar Plateau age,47.9,0.2,0.9,47,0.2,"Sample I-7, plateau age, similar isochron (no MSWD)",,,,,,,,47,0.3,,285,19,,Fish Canyon Tuff-3 Biotite,27.84,0.12,"Berggren et al., in: Berggren et al. (eds.), Geochronology, time scales and global stratigraphic correlation, Soc. Sed. Geol., Tulsa, OK, V54, 129-212, (1995)",Proper plateau
Greenland,East Greenland,,Sorgenfri Gletscher ,68.35,-32,Approximate,Sorgenfri Glerscher Sill Complex,Sill (Diabase),Intrusive,Sample413907,Ar/Ar,Plagioclase         ,"Tegner, C., Duncan, R.A., Bernstein, S., Brooks, C.K., Bird, D.K. and Storey, M.",Earth and Planetary Science Letters,146,645-658,Y,Ar/Ar Plateau age,57.07,0.4,1.07,56,0.4,"Sample 413907, plateau age, similar isochron (no MSWD)",,,,,,,,56.2,1.1,,280,41,,Fish Canyon Tuff-3 Biotite,27.84,0.12,"Berggren et al., in: Berggren et al. (eds.), Geochronology, time scales and global stratigraphic correlation, Soc. Sed. Geol., Tulsa, OK, V54, 129-212, (1995)",Proper plateau
Greenland,East Greenland,,Skærgaard           ,68.2,-31.7,Approximate,,Granophyre,Intrusive,SG-61 Biotite,Ar/Ar,Biotite             ,"Hirschmann, M.M., Renne, P.R. and McBirney, A.R.",Earth and Planetary Science Letters,146,645-658,Y,Ar/Ar Inverse isochron age,55.74,0.72,0.34,55.4,0.34,,,,,,,,,55.4,0.72,,291.1,7.2,0.85,Fish Canyon Tuff Sanidine,28.03,0.18,"Renne et al., Geology V22, 783-786 (1994)",
Greenland,East Greenland,,Skærgaard           ,68.2,-31.7,Approximate,,Granophyre,Intrusive,SG-61 Hornblende,Ar/Ar,Hornblende,"Hirschmann, M.M., Renne, P.R. and McBirney, A.R.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,55.82,0.76,0.34,55.48,0.34,,,,,,,,,55.48,0.76,,292.4,19,0.17,Fish Canyon Tuff Sanidine,28.03,0.18,"Renne et al., Geology V22, 783-786 (1994)",
Greenland,East Greenland,,Kangerlussuaq,68.18,-32.37,Approximate,,Biotite Granite,Intrusive,Sample333132,Ar/Ar,Biotite             ,"Tegner, C., Brooks, C.K., Duncan, R.A., Heister, L.E. and Bernstein, S.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,47.19,0.45,0.59,46.6,0.45,"Reference says FCT-3 Biotite is standard used - but Renne et al., 1998 only has calibrated age for FC sanidine. We assumed they used 28.02 --> FCs compatible age. ",,,,,,,,46.6,0.45,98,279,34,2.4,Fish Canyon Tuff Sanidine,28.02,,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Kangerlussuaq,68.29,-32.52,Approximate,,Syenite,Intrusive,EG4583,Ar/Ar,Biotite             ,"Tegner, C., Brooks, C.K., Duncan, R.A., Heister, L.E. and Bernstein, S.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,51.44,0.55,0.64,50.8,0.55,"Reference says FCT-3 Biotite is standard used - but Renne et al., 1998 only has calibrated age for FC sanidine. We assumed they used 28.02 --> FCs compatible age. ",,,,,,,,50.8,0.55,96,313,69,0.5,Fish Canyon Tuff Sanidine,28.02,,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Kærven,68.35,-32.36,Approximate,,Gabbro,Intrusive,Sample85659,Ar/Ar,Biotite             ,"Tegner, C., Brooks, C.K., Duncan, R.A., Heister, L.E. and Bernstein, S.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,55.79,0.7,0.69,55.1,0.7,"Reference says FCT-3 Biotite is standard used - but Renne et al., 1998 only has calibrated age for FC sanidine. We assumed they used 28.02 --> FCs compatible age. ",,,,,,,,55.1,0.7,76,673,93,0.8,Fish Canyon Tuff Sanidine,28.02,,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Kærven,68.35,-32.38,Approximate,,Alkali Granite,Intrusive,Sample40160,Ar/Ar,Amphibole           ,"Tegner, C., Brooks, C.K., Duncan, R.A., Heister, L.E. and Bernstein, S.",Geology,32,173-176,Y,Ar/Ar Inverse isochron age,53.46,0.65,0.66,52.8,0.65,"Reference says FCT-3 Biotite is standard used - but Renne et al., 1998 only has calibrated age for FC sanidine. We assumed they used 28.02 --> FCs compatible age. ",,,,,,,,52.8,0.65,99,690,48,2.3,Fish Canyon Tuff Sanidine,28.02,,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Vindtop Formation,69,-30,Approximate,Vindtop Formation,Basalt,Extrusive,Sample436144,Ar/Ar,Plagioclase         ,"Storey, M., Pedersen, A.K., Stecher, O., Bernstein, S., Larsen, H.C., Larsen, L.M., Baker, J.A. and Duncan, R.A.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,13.56,0.2,0.16,13.4,0.2,,,,,,,,Ar/Ar Inverse isochron age,13.6,0.3,76.6,294.4,8.9,,Fish Canyon Tuff-3 Biotite,28.03,0.18,"Renne et al., Geology V22, 783-786 (1994)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,68.31,-29.85,Approximate,Nansen fjord Formation,Basalt (Tholeiite),Extrusive,Sample426296,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,58.4,0.25,0.7,57.7,0.25,,,,,,,,Ar/Ar Isochron age,57.5,0.3,94,298,3,2.1,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,68.31,-29.85,Approximate,Nansen fjord Formation,Basalt (Tholeiite),Extrusive,Sample194021,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Isochron age,57.49,1.15,0.69,56.8,1.15,,,,,,,,,,,76,362,29,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Skjoldungen,63.32,-41.5,Approximate,,Dyke (Basalt),Intrusive,Sample940211,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,62.15,0.5,0.75,61.4,0.5,,,,,,,,Ar/Ar Isochron age,61.1,0.8,93,301,14,3,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Tugtilik,66.32,-34.92,Approximate,Sulugsut Complex,Dyke (silico-carbonatite),Intrusive,Sample417150,Ar/Ar,Biotite             ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,59.01,0.45,0.71,58.3,0.45,,,,,,,,Ar/Ar Isochron age,58.1,0.5,89,298,3,2.4,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Tugtilik,66.32,-34.92,Approximate,Sulugsut Complex,Dyke (silico-carbonatite),Intrusive,Sample417151,Ar/Ar,Biotite             ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Isochron age,58.2,0.6,0.7,57.5,0.6,,,,,,,,,,,66,371,35,1.6,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",
Greenland,East Greenland,,Blosseville Kyst,70.08,-24.37,Approximate,Skraenterne Formation,Tephra,Extrusive,Sample421564,Ar/Ar,Sanidine            ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,55.67,0.2,0.67,55,0.2,,,,,,,,Ar/Ar Isochron age,55.3,0.45,92,265,35,1.7,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,70.08,-24.37,Approximate,Skraenterne Formation,Basalt (Tholeiite),Extrusive,Sample436194,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,55.57,0.45,0.67,54.9,0.45,,,,,,,,Ar/Ar Isochron age,56.1,2.25,85,288,14,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,69.72,-23.58,Approximate,Rømer fjord Formation,Basalt (Tholeiite),Extrusive,Sample436056,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,55.77,0.25,0.67,55.1,0.25,,,,,,,,Ar/Ar Isochron age,55.1,0.8,100,296,7.5,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,69.72,-23.58,Approximate,Rømer fjord Formation,Basalt (Tholeiite),Extrusive,Sample421522,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,56.08,0.45,0.68,55.4,0.45,,,,,,,,Ar/Ar Isochron age,55.5,0.8,100,294,8,1.6,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Blosseville Kyst,70.71,-26.58,Approximate,Milne Land Formation,Basalt (Tholeiite),Extrusive,Sample404107,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Bulletin of the Geological Society of Denmark,61,18-Jan,Y,Ar/Ar Plateau age,56.79,0.25,0.69,56.1,0.25,,,,,,,,Ar/Ar Isochron age,56.1,0.35,87,295,3,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Kap Dalton,69.45,-24,Approximate,Igtertivâ Formation (Flow above sediment),Basalt,Extrusive,475269,Ar/Ar,Plagioclase,"Larsen, L.M., Pedersen, A.K., Sørensen, E.V., Watt, W.S. & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,43.77,0.54,0,43.77,0.54,"The neutron flux was monitored with the FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger (1977).",,,,,,0.12,Ar-Ar Inverse isochron,43.86,0.12,100,294,13,,FCT-3 Biotite,,,"Renne et al., 1998",Proper plateau
Greenland,East Greenland,,Shannon,75.16,-18.05,Reported ,Sill,Sill (Basalt),Intrusive,194196,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,51.85,0.28,0,51.85,0.28,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,51.82,1.12,99,296,4,0.15,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Lille Pendulum,74.71,-18.27,Reported ,Bass Rock,Sill (Basalt),Intrusive,194207,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,53.71,0.31,0,53.71,0.31,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,53.95,0.88,100,290,15,0.19,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Lille Pendulum,74.65,-18.49,Reported ,Lower Plateau Lava Series,Basalt,Extrusive,194233,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,55.42,0.46,0,55.42,0.46,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,54.58,5.18,96.7,317,132,0.07,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,"Sabine Ø, Kefersteinberg",74.62,-19,Reported ,Sill,Segregation patches(?),Intrusive,517355,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,53.98,0.2,0,53.98,0.2,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,54.24,0.94,85.6,276,64,0.1,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Hvalrosø,74.52,-18.75,Reported ,Sill,Pegmatite,Intrusive,475286,Ar/Ar,K-Feldspar,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,20.31,0.06,0,20.31,0.06,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,20.32,0.17,93.5,295,8,0.27,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,"Wollaston Forland, Augustadal",74.42,-19.19,Reported ,Dyke,Dyke (Basalt),Intrusive,475289,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,53.68,0.8,0,53.68,0.8,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,53.67,5.78,78.4,296,156,0.19,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,"Wollaston Forland, Blæsedal",74.38,-19.9,Reported ,Lower Plateau Lava Series,Basalt,Extrusive,194187,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,53.8,0.38,0,53.8,0.38,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,53.72,5.18,96.7,317,132,0.07,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Hobbs Land,74.08,-29.09,Reported ,Nunatak lavas,Melilitite,Extrusive,452434,Ar/Ar,Glass,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Inverse isochron age,53.4,0.92,0,53.4,0.92,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar plateau age,53.94,0.64,62.3,310,42,1.83,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,"Hold With Hope, Kap Stosch",74.02,-21.5,Reported ,Lower Plateau Lava Series,Basalt,Extrusive,95346,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,54.16,0.36,0,54.16,0.36,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,54.11,0.84,100,297,12,0.53,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,"Hold With Hope, Tobiasdal",73.77,-21.42,Reported ,Upper Plateau Lava Series,Basalt,Extrusive,194150,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,56.51,0.25,0,56.51,0.25,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",Excess Ar identified by authors,,,,,,Ar-Ar Inverse isochron,56.5,0.71,100,296,34,0.39,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Hold With Hope,73.47,-20.71,Reported ,Kap Broer Ruys complex,Felsite,Intrusive,228078,Ar/Ar,K-Feldspar,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,48.71,0.26,0,48.71,0.26,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,48.65,0.52,99.4,297,4,0.68,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Bontekoe Ø,73.14,-21.27,Reported ,Dyke,Dyke (Basalt),Intrusive,517310,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,51.27,0.6,0,51.27,0.6,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,51.41,1.81,98.4,295,6,0.05,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Geographical Society Ø,72.9,-21.91,Reported ,Lower Plateau Lava Series,Basalt,Extrusive,239531,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,53.54,0.34,0,53.54,0.34,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,53.3,2.14,83.6,306,82,0.04,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Geographical Society Ø,72.8,-22.37,Reported ,Sill on Freycinet Bjerg,Basalt,Intrusive,239539,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.","Journal of the Geological Society, London",171,539-553,Y,Ar/Ar Plateau age,52.58,0.33,0,52.58,0.33,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,52.94,1.43,100,287,31,0.95,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,East Greenland,,Traill Ø,72.38,-23.31,Reported ,Sill below Svinhufvud Bjerge,Sill (Basalt),Intrusive,239578,Ar/Ar,plagioclase,"Larsen, L.M., Pedersen, A.K., Tegner, C., & Duncan, R.A.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,55.14,0.19,0,55.14,0.19,"FCT-3 biotite monitor. All ages are here calculated relative to an age of 28.201 Ma for the Fish Canyon Tuff, following Kuiper et al. (2008) and Schmitz (2012), and using the decay constant for 40K of Steiger & Jäger -1977",,,,,,,Ar-Ar Inverse isochron,54.97,0.77,97.5,299,16,0.8,FCT-3 Biotite,,,"Renne et al., 1998",
Greenland,West Greenland,,Disko               ,69.64,-54.81,Reported,,Dyke (Basalt),Intrusive,Sample176601,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,54.62,0.3,1.02,53.6,0.3,"Sample 176601, plateau age, similar isochron",,,,,,,Ar/Ar Inverse isochron age,53.4,1,86.8,321.5,46.5,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",Proper plateau
