NAIP Main Region,NAIP Sub-province,Locality 1,Locality 2,Latitude,Longitude,LatLong_accuracy,Formation_Unit,Lithology,Type,Original Reported Sample Number,Geochronological Method,Mineral/Phase,Authors,Chemical Geology,241,264-281,Age_included_selected dataset_second level,Preferred age calculation method,Re-calibrated Age_NAGTEC,Re-calibrated Error (± 1σ)_NAGTEC,Change_age_after_recalibration,Reported Age_Original Reference,Reported Error_Original Reference,Comment,Comment 2,40K/K_ratio (atom per cent),K2O(%),K2O(± 1σ%),Radiogenic_Ar(%),Plateau MSWD,40Ar/39Ar_Alternative_Age_Calculation_Method,40Ar/39Ar_Alternative_Age,40Ar/39Ar_Alternative_Age (± 1σ),%39Ar_Step heating_spectrum,40Ar/36Ar_Inverse_Isochron_Intercept,40Ar/36Ar_Inverse_Isochron_Intercept (± 1σ),MSWD_Isochron,40Ar/39Ar_Monitor_Mineral,40Ar/39Ar_Monitor_Age,40Ar/39Ar_Monitor (± 1σ),Literature_Reference_Monitor,"Proper_Plateau(39Ar50%,overlap2σ,3steps_minimum)"
Greenland,West Greenland,,Disko               ,70.07,-53.54,Reported,Vaigat Formation (Manitdlat Member),Hyaloclastite,Extrusive,Sample264091,Ar/Ar,Glass          ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,61.86,0.5,1.16,60.7,0.5,"Sample 264091, plateau age, sim. isochron",,,,,,,Ar/Ar Inverse isochron age,60.3,1.3,98,298.8,25.6,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",Proper plateau
Greenland,West Greenland,,Disko               ,69.63,-53.02,Reported,Maligât Formation (Middle Rinks Dal Member),Basalt,Extrusive,Sample328406,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,61.45,0.4,1.15,60.3,0.4,"Sample 328406, plateau age, similar isochron",,,,,,,Ar/Ar Inverse isochron age,60.5,0.9,80,288,16.9,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",
Greenland,West Greenland,,Nuussuaq             ,70.37,-53.51,Reported,,Dyke (Basalt),Intrusive,Sample340797,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,55.84,0.4,1.04,54.8,0.4,"Sample 340797, plateau age, similar isochron",,,,,,,Ar/Ar Inverse isochron age,54.3,1,98.7,304.3,7.6,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",Proper plateau
Greenland,West Greenland,,Nuussuaq             ,70.27,-52.62,Reported,Maligât Formation (Lower Rinks Dal Member),Basalt,Extrusive,Sample400323,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Earth and Planetary Science Letters,160,569-586,Y,Ar/Ar Plateau age,61.65,0.4,1.15,60.5,0.4,"Sample 400323, plateau age, similar isochron",,,,,,,Ar/Ar Inverse isochron age,61,1.2,94,283.8,15.6,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",Proper plateau
Greenland,West Greenland,,Ubekendt Ejland    ,71.21,-53.89,Reported,,Lamprophyre Dyke,Intrusive,SampleUE500,Ar/Ar,K-Feldpar (Hyalophane)           ,"Storey, M., Duncan, R.A., Pedersen, A.K., Larsen, L.M. and Larsen, H.C.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,34.75,0.2,0.65,34.1,0.2,"Sample UE 500, plateau, similar isochron",,,,,,,Ar/Ar Inverse isochron age,33.7,0.7,99.8,298.2,9.8,,Fish Canyon Tuff-3 Biotite,27.84,0.2,"Hurford and Hammerschmidt, Chemical Geology V58, 23-32 (1985)",Proper plateau
Greenland,West Greenland,,Nuussuaq (westernmost),70.76,-54.21,Reported,,Dyke (Tholeiite),Intrusive,135129,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,48.02,1.38,0,48.02,1.38,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,1.1,Ar/Ar Inverse isochron age,46.77,2.84,100,297,2,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Nuussuaq (north),70.68,-52.7,Reported,Qaarsut sill,Dyke (Sheet; Alkali Basalt),Intrusive,489154,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,54.52,0.34,0,54.52,0.34,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.61,Ar/Ar Inverse isochron age,54.6,0.72,92.1,293,8,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Disko (east; Sortebærdalen),69.66,-52.15,Reported,,Dyke (Tholeiite Basalt),Intrusive,318800,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,58.34,0.2,0,58.34,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.12,Ar/Ar Inverse isochron age,58.41,0.86,99.3,293,23,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Disko Bugt (SE of Disko),69.31,-51.61,Reported,,Gabbro (Tholeiitic),Intrusive,Dana-06-148D-01,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,58.96,0.3,0,58.96,0.3,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant; Dredged sample",,,,,,1.27,Ar/Ar Inverse isochron age,58.47,1.65,81,300,13,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Svartenhuk Halvø,71.5,-55.23,Reported,Arfertuarsuk Trachyte Flow,Anorthoclase trachyte,Intrusive,1931.1,Ar/Ar,Anorthoclase,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,57.51,0.12,0,57.51,0.12,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,4.51,Ar/Ar Inverse isochron age,57.49,0.24,79.6,300,7,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Svartenhuk Halvø,71.79,-55.38,Reported,"Svartenhuk Formation, Skalø Member",Basalt (Tholeiitic),Extrusive,262838,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,57.98,0.3,0,57.98,0.3,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.06,Ar/Ar Inverse isochron age,58.16,1.05,97.7,285,52,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Svartenhuk Halvø,71.98,-54.98,Reported,"Svartenhuk Formation, Nuuit Member",Basalt (Tholeiitic),Extrusive,262773,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,58.05,0.3,0,58.05,0.3,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.15,Ar/Ar Inverse isochron age,58.22,1.13,95.3,285,64,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Ubekendt Ejland,71.04,-53.66,Reported,Saqqataa Qaqqaa Complex,Granophyre,Intrusive,417747,Ar/Ar,K-Feldpar (Hyalophane)           ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,55.21,0.2,0,55.21,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,2.27,Ar/Ar Inverse isochron age,54.97,0.34,90.6,299,3,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Ubekendt Ejland,71.04,-53.69,Reported,Saqqataa Qaqqaa Complex,Gabbro,Intrusive,455754,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,56.99,0.2,0,56.99,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,1.84,Ar/Ar Inverse isochron age,56.95,0.71,94.4,298,27,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Ubekendt Ejland,71.09,-53.91,Reported,Nuuk Takisooq Member,Pitchstone,Extrusive,438740,Ar/Ar,Feldspar   ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,55.94,0.1,0,55.94,0.1,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,1.56,Ar/Ar Inverse isochron age,55.69,0.39,93.8,391,124,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Ubekendt Ejland,71.04,-53.72,Reported,Lower Qeqertalik Member,Basalt (Tholeiitic),Extrusive,455809,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,59.97,0.4,0,59.97,0.4,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,1.26,Ar/Ar Inverse isochron age,58.98,1.88,100,326,51,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Nuussuaq (westernmost),70.73,-54.45,Reported,Upper Kanisut Member,Tuff (Acid),Extrusive,135152,Ar/Ar,K-Feldpar (Hyalophane)           ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,54.03,0.2,0,54.03,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.48,Ar/Ar Inverse isochron age,54.14,0.37,92,255,69,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Nuussuaq (west; Nuusuutaa),70.66,-54.58,Reported,Middle Kanisut Member,Tuff (Comendite),Extrusive,410140,Ar/Ar,Sanidine,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,54.86,0.2,0,54.86,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.91,Ar/Ar Inverse isochron age,54.86,0.36,93,295,15,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Hareøen,70.41,-54.99,Reported,Lower Kanisut Member,Tuff,Extrusive,456257,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,56.15,0.2,0,56.15,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.06,Ar/Ar Inverse isochron age,56.15,0.42,100,295,18,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Nuussuaq (north),70.83,-54.07,Reported,Upper Issorisoq Member,Crystal Tuff (above sample 489165),Extrusive,489172,Ar/Ar,K-Feldpar (Hyalophane)           ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,58.31,0.2,0,58.31,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.83,Ar/Ar Inverse isochron age,58.39,0.35,100,Not defined; points clustered,,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Nuussuaq (north),70.83,-54.07,Reported,Middle Issorisoq Member,Crystal Tuff (above lahar),Extrusive,489165,Ar/Ar,K-Feldpar (Hyalophane)           ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,58.66,0.2,0,58.66,0.2,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.25,Ar/Ar Inverse isochron age,58.66,0.37,94.7,296,75,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Svartenhuk Halvø,71.85,-55.61,Reported,Naqerloq Formation,Basalt (Tholeiitic; enriched),Extrusive,251372,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Geological magazine,,25-Jan,Y,Ar/Ar Plateau age,54.86,0.22,0,54.86,0.22,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.19,Ar/Ar Inverse isochron age,54.52,0.92,93.4,306,25,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Svartenhuk Halvø,71.53,-55.29,Reported,Naqerloq Formation,Basalt (Tholeiitic; enriched),Extrusive,278596,Ar/Ar,Plagioclase         ,"Larsen, L.M., Pedersen, A. K., Tegner, C., Duncan, R. A., Hald, N., & Larsen, J. G.",Chemical Geology,286,222-228,Y,Ar/Ar Plateau age,55.91,0.3,0,55.91,0.3,"Calculated relative to 28.201 Ma for FCT, according to Kuiper et al., 2008 and relative to Min et al., 2000 decay constant.",,,,,,0.06,Ar/Ar Inverse isochron age,55.02,7.91,78.8,Not defined; points clustered,,,Fish Canyon Tuff-3 Biotite,27.84,,"Kuiper et al., 2008; Schmitz, 2012",Proper plateau
Greenland,West Greenland,,Godthåbsfjord,64.12,-51.8,Reported,,Camptonite      ,Intrusive,201449,Ar/Ar,Plagioclase,"Larsen, L. M., Heaman, L. M., Creaser, R. A., Duncan, R. A., Frei, R. and Hutchison, M.","Journal of the Geological Society, London",166,999-1012,Y,Ar/Ar Inverse isochron age,51.46,0.9,0.34,51.8,0.9,,,,,,,,,,,72.3,424,8,1.4,Fish Canyon Tuff-3 Biotite,28.201,,"Kuiper et al., 2008 (age of the FCT sanidine), but they used Steiger and Jäger's decay constants. Recalculated to decay constant in Min et al. 2000",
Greenland,West Greenland,,Søndre Isortoq,65.39,-52.64,Reported,,Alkali basalt,Intrusive,KØ 17090,Ar/Ar,Plagioclase,"Larsen, L. M., Heaman, L. M., Creaser, R. A., Duncan, R. A., Frei, R. and Hutchison, M.","Journal of the Geological Society, London",166,999-1012,Y,Ar-Ar Plateau age,58.11,0.6,0.39,58.5,0.6,,,,,,,,Ar/Ar Inverse isochron age,58.4,0.6,89.1,311,14,1.1,Fish Canyon Tuff-3 Biotite,28.201,,"Kuiper et al., 2008 (age of the FCT sanidine), but they used Steiger and Jäger's decay constants. Recalculated to decay constant in Min et al. 2000",
Greenland,West Greenland,,Itilleq,66.45,-53.3,Reported,Plag-phyric dyke,Tholeiitic basalt,Intrusive,464627,Ar/Ar,Plagioclase,"Larsen, L. M., Heaman, L. M., Creaser, R. A., Duncan, R. A., Frei, R. and Hutchison, M.","Journal of the Geological Society, London",166,999-1012,Y,Ar-Ar Plateau age,63.58,1.3,0.42,64,1.3,,,,,,,,Ar/Ar Inverse isochron age,64.5,2,100,292,12,0.3,Fish Canyon Tuff-3 Biotite,28.201,,"Kuiper et al., 2008 (age of the FCT sanidine), but they used Steiger and Jäger's decay constants. Recalculated to decay constant in Min et al. 2000",
Greenland,West Greenland,,Aasiaat Region,68.84,-51.97,Reported,Grønne Ejland sill,Tholeiitic basalt,Intrusive,455793,Ar/Ar,Plagioclase,"Larsen, L. M., Heaman, L. M., Creaser, R. A., Duncan, R. A., Frei, R. and Hutchison, M.","Journal of the Geological Society, London",166,999-1012,Y,Ar-Ar Plateau age,60.4,0.8,0.4,60.8,0.8,,,,,,,,Ar/Ar Inverse isochron age,60.6,1,86.5,302,12,0.4,Fish Canyon Tuff-3 Biotite,28.201,,"Kuiper et al., 2008 (age of the FCT sanidine), but they used Steiger and Jäger's decay constants. Recalculated to decay constant in Min et al. 2000",
Greenland,West Greenland,,Aasiaat Region,68.21,-52.55,Reported,globular dyke,Tholeiitic basalt,Intrusive,464536,Ar/Ar,Plagioclase,"Larsen, L. M., Heaman, L. M., Creaser, R. A., Duncan, R. A., Frei, R. and Hutchison, M.",,,,Y,Ar-Ar Plateau age,55.73,0.2,0.37,56.1,0.2,,,,,,,,Ar/Ar Inverse isochron age,56.3,0.3,79,252,35,1.5,Fish Canyon Tuff-3 Biotite,28.201,,"Kuiper et al., 2008 (age of the FCT sanidine), but they used Steiger and Jäger's decay constants. Recalculated to decay constant in Min et al. 2000",
Northern Ireland,British-Irish Palaeogene Igneous,Antrim,Tardree Rhyolite complex,54.79,-6.13,Reported,Interbasalt Formation,Rhyolite,Intrusive,Sandy Braes,Ar/Ar,Sanidine            ,"Ganerød, M., Chew, D.M., Smethurst, M.A., Troll, V.R., Corfu, F., Meade, F. and Prestvik, T.",Chemical Geology,286,222-228,Y,Ar/Ar Plateau age,60.9,0.26,0.2,61.1,0.26,From Renne et al. 2010,,,,,,0.35,Ar/Ar Inverse isochron age,60.19,0.72,100,326.3,23.3,0.22,Taylor Creek Rhyolite Sanidine,28.62,,"Renne et al., Geochimica et Cosmochimica Acta V74, 5349-5367 (2010)",Proper plateau
Northern Ireland,British-Irish Palaeogene Igneous,Antrim,Tardree Rhyolite complex,54.78,-6.16,Reported,Interbasalt Formation,Rhyolite,Intrusive,Tardree forest,Ar/Ar,Sanidine            ,"Ganerød, M., Chew, D.M., Smethurst, M.A., Troll, V.R., Corfu, F., Meade, F. and Prestvik, T.",Chemical Geology,286,222-228,Y,Ar/Ar Plateau age,61.02,0.37,0.2,61.22,0.37,From Renne et al. 2010,,,,,,0.71,Ar/Ar Inverse isochron age,61,0.46,100,297.5,4.7,0.76,Taylor Creek Rhyolite Sanidine,28.62,,"Renne et al., Geochimica et Cosmochimica Acta V74, 5349-5367 (2010)",Proper plateau
Northern Ireland,British-Irish Palaeogene Igneous,Antrim,Tardree Rhyolite complex,54.78,-6.16,Reported,Interbasalt Formation,Rhyolite,Intrusive,Tardree forest,U/Pb,Zircon,"Ganerød, M., Chew, D.M., Smethurst, M.A., Troll, V.R., Corfu, F., Meade, F. and Prestvik, T.",Geophysical Journal International,182,183-202,Y,206Pb/238U age,61.32,0.05,0,61.32,0.05,,CA-TIMS,,,,,,,,,,,,,,,,,
Northern Ireland,British-Irish Palaeogene Igneous,Antrim,Antrim Lava Group,54.58,-5.72,Reported,,Sill,Intrusive,Scrabo hill,Ar/Ar,Plagioclase         ,"Ganerød, M., Smethurst, M.A., Torsvik, T.H., Prestvik, T., Rousse, S., McKenna, C., Hinsbergen, D.J.J. van and Hendriks, B.W.H.","Journal of the Geological Society, London",167,433-436,Y,Ar/Ar Plateau age,50.22,0.43,0.32,49.9,0.43,,,,,,,0.36,Ar/Ar Inverse isochron age,49.6,1.08,87.8,296.1,6.1,0.04,Taylor Creek Rhyolite Sanidine,28.34,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Offshore Norway,Offshore Norway,Vøring margin,Mid-Norwegian margin,66.68,7.36,Reported,,Sill,Intrusive,Utgard Upper Sill,U/Pb,Zircon,"Svensen, H., Planke, S. and Corfu, F.","Journal of the Geological Society, London",167,433-436,Y,U/Pb Concordia age,55.6,0.15,0,55.6,0.15,ID-TIMS,,,,,,,,,,,,,,,,,,
Offshore Norway,Offshore Norway,Vøring margin,Mid-Norwegian margin,66.68,7.36,Reported,,Sill,Intrusive,Utgard Lower Sill,U/Pb,Zircon,"Svensen, H., Planke, S. and Corfu, F.",Journal of the Geological Society London,169,115-118,Y,U/Pb Concordia age,56.3,0.2,0,56.3,0.2,ID-TIMS,,,,,,,,,,,,,,,,,,
UK,British-Irish Palaeogene Igneous,Outer Hebrides,"Loch Roag, Lewis (Scotland)",59.19,-6.94,Approximate,,Dyke,Intrusive,LR-299,Ar/Ar,Phlogopite,"Faithfull, J.W., Timmerman, M.J., Upton, B.G.J. and Rumsey, M.S.",Journal of Petrology,50,2345-2374,Y,Ar/Ar Plateau age,45.91,0.11,0.71,45.2,0.1,"Calibrated with Tinto and LP-6 (128.5 Ma); decay constants by Steiger and Jager 1977, used the age of MMhb-1 in Roddick --> Renne et al. 1998 --> Kuiper et al. 2008",,,,,,0.8,Ar/Ar Inverse isochron age,45,0.35,100,298.8,9.6,0.8,Tinto Biotite,409.2,,"Rex and Guise, Bulletin of Liaison and information V6, IGCP project 196, 106-109 (1986)",Proper plateau
UK,British-Irish Palaeogene Igneous,Isle of Arran,Drumadoon Sill,55.51,-5.35,Reported,,Porphyritic rhyolite,Intrusive,DD-T,Ar/Ar,K-Feldspar          ,"Meade, F.C., Chew, D.M., Troll, V.R., Ellam, R.M. and Page, L.M.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,59.42,0.14,0.38,59.04,0.13,"Acid leaching (5% HF, 10 minutes)",,,,,,,,,,,,,,Fish Canyon sanidine,28.02,0.16,Renne et al. 1997,Proper plateau
UK,British-Irish Palaeogene Igneous,Isle of Eigg,"Isle of Eigg,",56.86,-6.19,Approximate,Eigg Lava Formation,Tephra,Extrusive,SampleEigg96-1,Ar/Ar,Sanidine            ,"Storey, M., Duncan, R.A. and Tegner, C.",Lithos,79,367-384,Y,Ar/Ar Plateau age,62.55,0.5,0.75,61.8,0.5,Felsic ash layer,,,,,,,Ar/Ar Isochron age,61.7,0.5,77,319,32,1,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
UK,British-Irish Palaeogene Igneous,Isle of Muck        ,Small Isles Tertiary centre,56.83,-6.23,Reported,The Muck Tuff,Tuff,Extrusive,MT2 Weighted mean,Ar/Ar,Sanidine,"Chambers, L.M., Pringle, M.S. and Parrish, R.R.",Lithos,79,367-384,Y,Ar/Ar mean age (multiple samples),61.95,0.08,1.3,60.65,0.07,,,,,,,0.75,,,,,,,,Taylor Creek Rhyolite 85G003 Sanidine,27.92,0.04,,Proper plateau
UK,British-Irish Palaeogene Igneous,Isle of Muck        ,Small Isles Tertiary centre,56.83,-6.23,Reported,The Muck Tuff,Tuff,Extrusive,MT3 Weighted mean,Ar/Ar,Sanidine,"Chambers, L.M., Pringle, M.S. and Parrish, R.R.",Lithos,79,367-384,Y,Ar/Ar mean age (multiple samples),61.74,0.08,1.3,60.44,0.07,,,,,,,0.12,,,,,,,,Taylor Creek Rhyolite 85G003 Sanidine,27.92,0.04,,Proper plateau
UK,British-Irish Palaeogene Igneous,Isle of Muck        ,Small Isles Tertiary centre,56.83,-6.23,Reported,The Muck Tuff,Tuff,Extrusive,Muck Tuff,U/Pb,Zircon,"Chambers, L.M., Pringle, M.S. and Parrish, R.R.","Journal of the Geological Society, London",166,651-660,Y,U/Pb Concordia age,61.15,0.25,0,61.15,0.25,U/Pb Concordia MSWD 0.00014,ID-TIMS,,,,,,,,,,,,,,,,,
UK,British-Irish Palaeogene Igneous,Isle of Rum,,,,,Early felsic rhyodacite,Rhyodacite,Intrusive,UDPNTLH and RDP,Ar/Ar,Plagioclase,"Troll, V. R., Nicoll, G. R., Donaldson, C.H. and Emeleus, H.C. ",Nature,394,260-263,Y,Ar/Ar ideogram,61.08,0.21,0.75,60.33,0.21,Combined results from samples UDPNTLH and RDP displayed in an ideogram.,,,,,,,,,,,,,,MMhb-1,520.4,,Samson & Alexander 1979,
UK,British-Irish Palaeogene Igneous,Isle of Rum                 ,Isle of Rum                 ,57,-6.5,Approximate,,Alkaline Pegmatite,Intrusive,SR314,U/Pb,Zircon              ,"Hamilton, M.A., Pearson, D.G., Thompson, R.N., Kelley, S. P. and Emeleus, C.H.",Nature,394,260-263,Y,U/Pb Concordia age,60.53,0.04,0,60.53,0.04,"Weighted mean, 3 concordant fractions, 206/238 age; MSWD 0.46",CA-TIMS,,,,,,,,,,,,,,,,,
UK,British-Irish Palaeogene Igneous,Isle of Rum                 ,Isle of Rum                 ,57,-6.5,Approximate,,Alkaline Pegmatite,Intrusive,GP387,Ar/Ar,Phlogopite          ,"Hamilton, M.A., Pearson, D.G., Thompson, R.N., Kelley, S. P. and Emeleus, C.H.",Nature,394,260-263,Y,Ar/Ar Inverse isochron age,61.05,0.5,0.95,60.1,0.5,isochron age,,,,,,,,,,,426,30,0.9,GA-1550 Biotite,97.9,,"McDougall and Harrison, Oxford University Press, 1988",
UK,British-Irish Palaeogene Igneous,Isle of Skye,Cuillin             ,57.4,-6.5,Approximate,,Gabbro Pegmatite,Intrusive,SC1/2,U/Pb,Zircon              ,"Hamilton, M.A., Pearson, D.G., Thompson, R.N., Kelley, S. P. and Emeleus, C.H.",Nature,394,260-263,Y,U/Pb Concordia age,58.91,0.03,0,58.91,0.03,mean 206/238 age of the best of four fractions; MSWD 0.18,CA-TIMS,,,,,,,,,,,,,,,,,
UK,British-Irish Palaeogene Igneous,Isle of Skye,Isle of Skye,57.4,-6.5,Approximate,,Dyke (Trachyte),Intrusive,GP382,Ar/Ar,Biotite             ,"Hamilton, M.A., Pearson, D.G., Thompson, R.N., Kelley, S. P. and Emeleus, C.H.","Journal of the Geological Society, London",166,999-1012,Y,Ar/Ar Inverse isochron age,58.51,0.6,0.91,57.6,0.6,"isochron age, Skye Lava pile",,,,,,,,,,,360,30,0.5,GA-1550 Biotite,97.9,,"McDougall and Harrison, Oxford University Press, 1988",